1504, -3664, 16097,
84.62, 101.82, 22.83,
2877, -3501, 15776,
84.45, 101.69, 22.60,
2441, -3786, 15424,
84.58, 101.68, 23.02,
1394, -3570, 16396,
84.58, 100.87, 30.34,
-2022, -2565, 16877,
84.59, 101.52, 22.95,
-3601, -560, 16706,
85.05, 101.03, 22.92,
-2908, -1590, 17694,
85.63, 100.69, 22.39,
-1679, -1438, 16669,
86.33, 100.36, 22.19,
-1438, -1373, 17007,
87.06, 100.10, 21.79,
-2483, -332, 16395,
87.82, 99.58, 21.84,
-1700, -81, 16317,
88.44, 98.94, 21.88,
-363, 909, 17463,
88.75, 98.21, 21.32,
-3457, -334, 16495,
89.61, 97.64, 21.34,
-3169, -3020, 17852,
90.38, 97.47, 20.62,
-3141, -7047, 13256,
91.25, 98.05, 21.97,
-5157, -9946, 12594,
92.38, 99.10, 23.44,
-5012, -12064, 10331,
93.48, 100.50, 25.79,
-5599, -11857, 10420,
94.75, 101.86, 27.87,
-5463, -13359, 8899,
95.95, 103.49, 30.35,
-6335, -13641, 8936,
97.30, 105.21, 32.73,
-4916, -14903, 6604,
98.39, 107.12, 35.58,
-4130, -17232, 4832,
99.31, 109.43, 38.60,
-4573, -15487, 5995,
100.54, 111.50, 41.08,
-3691, -15102, 5360,
101.55, 113.48, 43.50,
-3259, -16935, 3100,
101.55, 113.61, 50.96,
-3079, -16626, 2344,
101.72, 115.99, 46.82,
-3350, -16958, 3586,
101.68, 118.98, 49.67,
-2754, -17583, 3608,
101.65, 121.99, 52.59,
-2471, -16519, 4361,
101.79, 124.92, 55.06,
-2496, -15782, 4756,
101.96, 127.81, 57.45,
-2532, -14543, 6342,
101.97, 130.79, 59.36,
-2084, -15180, 8098,
102.03, 134.10, 60.89,
-1904, -13337, 8607,
102.29, 137.41, 62.52,
-2175, -13509, 10562,
102.08, 140.66, 63.60,
-2477, -11874, 11134,
101.96, 142.98, 64.81,
-2458, -9939, 13057,
101.85, 143.77, 64.84,
-1942, -8808, 14567,
101.32, 143.45, 64.49,
-338, -5554, 15398,
100.55, 141.72, 63.58,
-2818, 653, 15122,
100.09, 138.56, 62.73,
-2580, 3703, 19415,
99.61, 134.54, 60.79,
-3428, -428, 15776,
99.14, 131.61, 59.52,
-3276, 24, 17142,
98.87, 128.46, 57.51,
-434, 1919, 16187,
98.26, 124.60, 55.31,
-1518, 1145, 16766,
97.76, 121.39, 53.16,
-1786, 1648, 16825,
97.45, 118.26, 50.80,
-1605, 1342, 16694,
97.45, 115.53, 51.01,
-899, 2124, 16202,
97.10, 114.86, 47.84,
-1037, 1435, 16544,
96.72, 111.62, 44.95,
-1842, 947, 17277,
96.57, 108.43, 41.72,
-3591, -1187, 16678,
96.75, 105.83, 38.63,
-1651, -3918, 16398,
96.62, 103.84, 35.50,
-1808, -5512, 14721,
96.50, 102.34, 33.09,
-3263, -8547, 14241,
96.69, 101.25, 31.22,
-2876, -9221, 12892,
96.85, 100.57, 29.86,
-3228, -11416, 11872,
97.02, 100.22, 29.43,
-3802, -12933, 10493,
97.24, 100.40, 29.64,
-3812, -13204, 9381,
97.46, 100.94, 30.82,
-3588, -14728, 8654,
97.73, 101.91, 32.64,
-3367, -14937, 7999,
98.22, 103.47, 34.80,
-3368, -15611, 6680,
98.31, 106.19, 37.13,
-2236, -15874, 5493,
98.26, 109.53, 40.72,
-1951, -16358, 4155,
98.01, 112.29, 43.52,
-2506, -17204, 4531,
97.89, 115.34, 46.41,
-1241, -16802, 1909,
98.02, 118.74, 49.52,
-1511, -17462, 2276,
98.02, 122.24, 52.54,
-1512, -17644, 3041,
97.97, 126.01, 55.30,
-1173, -16677, 2864,
97.97, 126.67, 61.56,
-779, -16667, 3899,
97.95, 129.87, 57.69,
-1425, -16753, 5841,
98.02, 133.82, 59.72,
-984, -14544, 5338,
97.88, 137.41, 61.93,
-762, -16157, 6710,
97.42, 141.12, 63.75,
-1073, -14314, 8551,
97.32, 143.89, 65.16,
-755, -13709, 9304,
97.15, 146.20, 66.12,
-295, -11053, 11012,
96.66, 146.94, 66.69,
-1817, -11546, 11325,
96.49, 147.64, 66.97,
-2334, -8442, 14018,
96.35, 146.75, 66.59,
-1595, -6549, 14736,
95.99, 144.91, 65.84,
-1909, -673, 21106,
95.68, 141.52, 63.74,
-1799, 1367, 18690,
95.39, 137.51, 61.91,
-304, -1147, 14333,
94.89, 134.30, 60.74,
-1397, -1729, 16281,
94.57, 131.24, 58.95,
-942, 727, 16022,
94.36, 127.75, 56.93,
-1616, 874, 16590,
94.30, 124.30, 54.50,
-1274, 1324, 16721,
94.10, 120.74, 52.03,
-1187, 1120, 16836,
94.09, 117.42, 48.90,
-461, 2473, 15956,
93.92, 113.84, 45.89,
-925, -607, 19439,
93.83, 110.86, 42.07,
-3894, -3459, 17537,
93.83, 108.66, 43.82,
-2871, -4142, 16733,
94.17, 108.70, 38.86,
-1424, -5326, 15001,
94.17, 106.76, 36.44,
-3607, -8244, 14534,
94.59, 105.70, 33.85,
-4397, -10880, 12286,
95.19, 104.81, 32.19,
-5498, -11769, 12003,
95.91, 104.39, 31.13,
-3865, -13180, 10580,
96.41, 104.30, 30.73,
-3808, -13563, 9665,
96.98, 104.72, 31.15,
-3194, -14708, 8558,
97.21, 105.25, 32.01,
-2324, -15471, 6908,
97.21, 106.43, 34.12,
-990, -16279, 5474,
97.11, 108.08, 36.70,
-1179, -16561, 5007,
96.99, 110.81, 40.87,
-853, -16391, 4956,
96.84, 113.92, 44.16,
-405, -16783, 3342,
96.85, 116.72, 46.66,
-402, -17175, 2866,
96.69, 119.56, 49.57,
501, -17617, 1560,
96.45, 123.03, 52.58,
-139, -16561, 2542,
96.21, 126.47, 55.40,
176, -17138, 4033,
95.98, 130.28, 57.86,
-35, -16589, 4425,
95.79, 134.15, 60.20,
70, -14826, 6227,
95.70, 138.20, 62.00,
528, -15773, 7464,
95.47, 142.03, 64.17,
355, -14412, 7917,
95.47, 140.86, 69.66,
22, -13039, 9800,
95.00, 144.44, 65.41,
434, -12358, 11634,
94.69, 146.44, 66.01,
-270, -11411, 11128,
94.15, 147.38, 66.61,
-1601, -8983, 13261,
93.70, 146.82, 66.44,
61, -6245, 14933,
92.80, 145.22, 65.92,
-3040, 3340, 18386,
92.66, 140.77, 64.53,
-3957, -2934, 16168,
92.69, 138.13, 63.36,
-2624, -290, 14898,
92.60, 134.74, 62.21,
-1926, 992, 17112,
92.53, 131.10, 60.32,
-1835, 1329, 16850,
92.67, 127.42, 58.18,
-1394, 1989, 16735,
92.70, 123.72, 55.92,
-1822, 1000, 16585,
92.86, 120.40, 53.61,
-648, 3081, 14826,
92.90, 116.74, 51.26,
-2743, 329, 20846,
93.28, 113.61, 47.43,
-4448, -5025, 17988,
94.08, 111.40, 43.70,
-1853, -3271, 15275,
94.36, 109.10, 40.63,
-3634, -6560, 15028,
94.98, 107.30, 37.81,
-3109, -9121, 13743,
95.48, 106.04, 35.28,
-3629, -10611, 12432,
96.08, 105.33, 33.50,
-4344, -11838, 10637,
96.87, 104.67, 32.56,
-3669, -13025, 10319,
96.87, 103.11, 38.89,
-2933, -14359, 8775,
97.36, 104.89, 32.87,
-2719, -15224, 7743,
97.87, 105.37, 34.01,
-1643, -16250, 5952,
98.10, 106.19, 35.48,
-770, -15942, 5481,
97.96, 107.36, 37.60,
-471, -17323, 4150,
98.05, 109.25, 40.37,
-426, -16161, 3490,
97.62, 112.63, 43.96,
399, -16495, 2763,
96.91, 115.03, 47.01,
-58, -17642, 1472,
96.49, 118.18, 49.91,
-154, -17255, 1255,
96.20, 121.58, 53.19,
7, -16857, 2824,
95.90, 125.11, 55.98,
3, -16534, 3739,
95.68, 128.87, 58.48,
356, -15727, 6224,
95.32, 132.44, 60.43,
160, -15727, 6597,
95.19, 136.71, 61.95,
-48, -14410, 8573,
94.75, 140.31, 64.18,
267, -12836, 10515,
93.99, 142.34, 65.51,
-636, -11314, 11734,
93.79, 144.52, 66.14,
-775, -10014, 14093,
93.32, 145.50, 66.31,
-1507, -6125, 13798,
93.06, 144.65, 66.30,
916, -3363, 16902,
92.33, 142.67, 65.51,
-1955, -629, 16011,
91.94, 139.77, 64.55,
-2719, 556, 15127,
91.94, 136.94, 66.01,
-1878, -94, 16840,
91.77, 136.32, 63.09,
-402, 1680, 16121,
91.39, 132.49, 61.56,
-1732, 1660, 16449,
91.41, 128.67, 59.61,
-1824, 1897, 16715,
91.58, 125.06, 57.48,
-1415, 2179, 16524,
91.73, 121.28, 55.07,
-1521, 2957, 16540,
91.91, 117.73, 52.45,
-3841, -1668, 16223,
92.60, 115.05, 49.64,
-1186, -3440, 18035,
92.78, 112.53, 46.03,
-1673, -6877, 13946,
93.03, 110.73, 43.10,
-2986, -8715, 13612,
93.51, 109.32, 40.48,
-2616, -10131, 12295,
93.94, 108.23, 38.29,
-2913, -11971, 11277,
94.47, 107.59, 36.95,
-3227, -13118, 10268,
95.02, 107.15, 35.95,
-2559, -13879, 9421,
95.43, 107.06, 35.72,
-3023, -14709, 7838,
95.96, 107.37, 36.45,
-2178, -15815, 7064,
96.21, 108.14, 37.71,
-811, -15872, 5819,
96.22, 109.14, 39.85,
-301, -15938, 4687,
96.02, 110.83, 42.10,
530, -16788, 3313,
96.08, 113.18, 45.28,
452, -16956, 2388,
95.69, 116.08, 48.31,
378, -17095, 1804,
95.69, 116.00, 55.30,
443, -17081, 1322,
95.32, 119.19, 51.59,
191, -17134, 1442,
95.22, 122.74, 54.56,
167, -16768, 1944,
94.91, 126.37, 57.40,
181, -17188, 3145,
94.58, 130.31, 59.97,
554, -16455, 4372,
94.26, 134.39, 62.22,
781, -15430, 6084,
93.89, 138.72, 64.11,
1017, -15760, 7378,
93.10, 142.31, 65.70,
776, -13887, 9186,
92.79, 145.17, 67.26,
566, -12895, 10308,
92.42, 146.91, 67.90,
585, -11475, 11835,
91.84, 147.74, 68.21,
-1293, -9902, 13642,
91.63, 147.67, 67.97,
-437, -5606, 15064,
91.23, 145.79, 67.31,
-1969, 2688, 19928,
91.02, 141.47, 65.60,
-2995, -466, 18560,
91.10, 138.11, 63.97,
-4015, -1570, 15993,
91.26, 135.02, 62.49,
-4110, 596, 16729,
91.57, 131.37, 60.71,
-3321, -1363, 16919,
91.98, 128.31, 58.63,
-2389, -2056, 16112,
92.31, 125.50, 56.43,
-2231, -2374, 16744,
92.76, 122.68, 53.78,
-3166, -1633, 16545,
93.35, 119.78, 50.89,
-3129, -1691, 15887,
93.35, 117.21, 51.51,
-2462, -1916, 16304,
93.82, 116.99, 47.69,
-2979, -2327, 16334,
94.33, 114.33, 44.33,
-3169, -1626, 16622,
94.88, 111.66, 40.82,
-2841, -1974, 16182,
95.37, 109.04, 37.48,
-2740, -2386, 16727,
95.90, 106.64, 34.05,
-2427, -2711, 16248,
96.42, 104.51, 30.99,
-2670, -1818, 16686,
97.03, 102.19, 27.93,
-3440, -2678, 16509,
97.71, 100.34, 25.28,
-3264, -1946, 16709,
98.34, 98.54, 22.73,
-2910, -2274, 16387,
98.91, 97.04, 20.74,